metropolitan_statistical_area,counties_principal_cities,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft
,City of Seattle,700313,4294,19,254,1547,2474,38433,7666,26639,4128
,City of Tacoma,209914,2000,13,159,540,1288,13749,2420,8710,2619
,City of Bellevue,142238,139,0,14,61,64,4635,877,3458,300
,City of Everett,108988,490,1,64,148,277,5608,949,3701,958
,City of Kent,128604,372,6,66,165,135,7527,1060,5034,1433
,City of Renton,101908,341,4,36,146,155,5767,834,3872,1061
,City of Auburn,78400,329,6,49,98,176,3618,732,2188,698
,City of Lakewood,60153,449,0,47,101,301,2939,589,1979,371
,City of Redmond,61893,83,0,15,23,45,1936,181,1676,79
,Total area actually reporting,1,13449,101,1505,4160,7683,148138,27677,99143,21318
,"Rate per 100,000 inhabitants",,353.2,2.7,39.5,109.2,201.7,3890,726.8,2603.4,559.8
"Seattle-Bellevue-Everett, WA M.D.",,2950845,,,,,,,,,
,Includes King and Snohomish Counties,,,,,,,,,,
,Total area actually reporting,1,9246,71,1088,3116,4971,113792,20588,77667,15537
,"Rate per 100,000 inhabitants",,313.3,2.4,36.9,105.6,168.5,3856.3,697.7,2632,526.5
"Tacoma-Lakewood, WA M.D.",,857339,,,,,,,,,
,Includes Pierce County,,,,,,,,,,
,Total area actually reporting,1,4203,30,417,1044,2712,34346,7089,21476,5781
,"Rate per 100,000 inhabitants",,490.2,3.5,48.6,121.8,316.3,4006.1,826.9,2505,674.3
"Sebastian-Vero Beach, FL M.S.A.",,150236, ,,,,, ,,,
,Includes Indian River County,,,,,,,,,,
,City of Sebastian,24441,42,0,4,7,31,467,69,376,22
,City of Vero Beach,16589,69,3,6,12,48,426,88,323,15
,Total area actually reporting,1,345,4,21,43,277,2776,574,2044,158
,"Rate per 100,000 inhabitants",,229.6,2.7,14,28.6,184.4,1847.8,382.1,1360.5,105.2
"Sebring, FL M.S.A.",,99857, ,,,,, ,,,
,Includes Highlands County,,,,,,,,,,
,City of Sebring,10516,45,3,4,7,31,499,110,369,20
,Total area actually reporting,1,327,7,27,49,244,2667,674,1873,120
,"Rate per 100,000 inhabitants",,327.5,7,27,49.1,244.3,2670.8,675,1875.7,120.2
"Sheboygan, WI M.S.A.",,115401, ,,,,, ,,,
,Includes Sheboygan County,,,,,,,,,,
,City of Sheboygan,48710,131,1,20,10,100,1063,119,908,36
,Total area actually reporting,1,179,2,29,13,135,1650,166,1420,64
,"Rate per 100,000 inhabitants",,155.1,1.7,25.1,11.3,117,1429.8,143.8,1230.5,55.5
"Sherman-Denison, TX M.S.A.",,125998,,,,,,,,,
,Includes Grayson County,, ,,,,,,,,
,City of Sherman,41139,127,4,20,23,80,1251,297,866,88
,City of Denison,23237,110,0,12,12,86,557,135,372,50
,Total area actually reporting,0.971,334,5,49,38,242,2416,573,1632,211
,Estimated total,1,344,5,51,40,248,2507,588,1701,218
,"Rate per 100,000 inhabitants",,273,4,40.5,31.7,196.8,1989.7,466.7,1350,173
"Shreveport-Bossier City, LA M.S.A.",,442787, ,,,,, ,,,
,"Includes Bossier, Caddo, De Soto, and Webster Parishes",,,,,,,,,,
,City of Shreveport,196467,1865,42,157,492,1174,10721,2318,7646,757
,City of  Bossier City,69384,585,5,33,96,451,3206,494,2491,221
,Total area actually reporting,0.997,2877,52,207,622,1996,16786,3629,12010,1147
,Estimated total,1,2882,52,207,623,2000,16828,3636,12043,1149
,"Rate per 100,000 inhabitants",,650.9,11.7,46.7,140.7,451.7,3800.5,821.2,2719.8,259.5
"Sierra Vista-Douglas, AZ M.S.A.",,125652, ,,,,, ,,,
,Includes Cochise County,,,,,,,,,,
,City of Sierra Vista,42988,85,3,15,18,49,1278,249,974,55
,City of Douglas,16398,30,0,1,4,25,462,70,377,15
,Total area actually reporting,0.896,392,5,27,28,332,2547,420,1986,141
,Estimated total,1,428,5,31,36,356,2906,478,2262,166
,"Rate per 100,000 inhabitants",,340.6,4,24.7,28.7,283.3,2312.7,380.4,1800.2,132.1
"Sioux City, IA-NE-SD M.S.A.",,168846, ,,,,, ,,,
,"Includes Plymouth and Woodbury Counties, IA; Dakota and Dixon Counties, NE; and Union County, SD",,,,,,,,,,
,"City of Sioux City, IA",82819,365,1,40,59,265,3247,592,2363,292
,Total area actually reporting,0.985,504,3,57,63,381,4455,799,3235,421
,Estimated total,1,507,3,57,63,384,4488,803,3262,423
,"Rate per 100,000 inhabitants",,300.3,1.8,33.8,37.3,227.4,2658,475.6,1931.9,250.5
"Sioux Falls, SD M.S.A.",,256120, ,,,,, ,,,
,"Includes Lincoln, McCook, Minnehaha, and Turner Counties",,,,,,,,,,
,City of Sioux Falls,175152,897,6,142,121,628,5563,869,4076,618
,Total area actually reporting,0.997,993,10,153,124,706,6429,1154,4595,680
,Estimated total,1,994,10,153,124,707,6439,1155,4603,681
,"Rate per 100,000 inhabitants",,388.1,3.9,59.7,48.4,276,2514.1,451,1797.2,265.9
"South Bend-Mishawaka, IN-MI M.S.A.2",,319742,,,,,,,,,
,"Includes St. Joseph County, IN and Cass County, MI",, ,,,,,,,,
,"City of South Bend, IN2",101621,1037,14,70,388,565,5166,1241,3359,566
,"City of Mishawaka, IN",48267,165,1,35,69,60,2523,283,2034,206
,Total area actually reporting,0.98,1463,16,172,489,786,9644,2214,6523,907
,Estimated total,1,1481,16,175,492,798,9767,2233,6618,916
,"Rate per 100,000 inhabitants",,463.2,5,54.7,153.9,249.6,3054.7,698.4,2069.8,286.5
"Spokane-Spokane Valley, WA M.S.A.2",,553915, ,,,,, ,,,
,"Includes Pend Oreille, Spokane,2 and Stevens Counties",,,,,,,,,,
,City of Spokane2,214028,1279,8,185,306,780,16455,2648,11815,1992
,City of Spokane Valley2,95923,271,5,55,67,144,5292,912,3909,471
,Total area actually reporting,0.999,1859,16,324,411,1108,27718,5011,19710,2997
,Estimated total,1,1859,16,324,411,1108,27727,5012,19717,2998
,"Rate per 100,000 inhabitants",,335.6,2.9,58.5,74.2,200,5005.6,904.8,3559.6,541.2
"Springfield, IL M.S.A.",,210256, ,,,,, ,,,
,Includes Menard and Sangamon Counties,,,,,,,,,,
,City of Springfield,116563,1301,6,99,249,947,5158,1250,3681,227
,Total area actually reporting,0.98,1547,8,146,276,1117,6339,1575,4446,318
,Estimated total,1,1556,8,147,279,1122,6411,1586,4503,322
,"Rate per 100,000 inhabitants",,740.1,3.8,69.9,132.7,533.6,3049.1,754.3,2141.7,153.1
"Springfield, MA M.S.A.",,630942, ,,,,, ,,,
,Includes Hampden and Hampshire Counties,,,,,,,,,,
,City of Springfield,154102,1588,12,81,522,973,5073,1486,3000,587
,Total area actually reporting,0.978,3351,18,319,775,2239,14257,3313,9846,1098
,Estimated total,1,3393,18,323,782,2270,14451,3348,9991,1112
,"Rate per 100,000 inhabitants",,537.8,2.9,51.2,123.9,359.8,2290.4,530.6,1583.5,176.2
"Springfield, MO M.S.A.",,459709, ,,,,, ,,,
,"Includes Christian, Dallas, Greene, Polk, and Webster Counties",,,,,,,,,,
,City of Springfield,168307,2251,8,293,428,1522,14251,2120,10483,1648
,Total area actually reporting,1,2775,12,376,461,1926,19475,3290,14131,2054
,"Rate per 100,000 inhabitants",,603.6,2.6,81.8,100.3,419,4236.4,715.7,3073.9,446.8
"Springfield, OH M.S.A.",,135331, ,,,,, ,,,
,Includes Clark County,,,,,,,,,,
,City of Springfield,59503,411,5,34,184,188,4040,963,2817,260
,Total area actually reporting,0.944,460,5,44,193,218,5259,1272,3660,327
,Estimated total,1,471,5,46,197,223,5428,1300,3794,334
,"Rate per 100,000 inhabitants",,348,3.7,34,145.6,164.8,4010.9,960.6,2803.5,246.8
"State College, PA M.S.A.",,161409, ,,,,, ,,,
,Includes Centre County,,,,,,,,,,
,City of State College,58119,39,0,8,10,21,491,35,447,9
,Total area actually reporting,1,152,2,65,19,66,1719,238,1452,29
,"Rate per 100,000 inhabitants",,94.2,1.2,40.3,11.8,40.9,1065,147.5,899.6,18
"Staunton-Waynesboro, VA M.S.A.",,119934, ,,,,, ,,,
,Includes Augusta County and Staunton and Waynesboro Cities ,,,,,,,,,,
,City of Staunton,24399,41,2,7,7,25,528,34,474,20
,City of Waynesboro,21464,40,1,12,6,21,486,40,424,22
,Total area actually reporting,1,159,7,33,16,103,1746,281,1377,88
,"Rate per 100,000 inhabitants",,132.6,5.8,27.5,13.3,85.9,1455.8,234.3,1148.1,73.4
"St. Cloud, MN M.S.A.",,195241, ,,,,, ,,,
,Includes Benton and Stearns Counties,,,,,,,,,,
,City of St. Cloud,67341,293,1,68,72,152,2780,329,2327,124
,Total area actually reporting,1,388,1,97,68,222,4638,532,3904,202
,"Rate per 100,000 inhabitants",,198.7,0.5,49.7,34.8,113.7,2375.5,272.5,1999.6,103.5
"St. George, UT M.S.A.",,159745, ,,,,, ,,,
,Includes Washington County,,,,,,,,,,
,City of St. George,81755,160,0,54,14,92,1465,350,995,120
,Total area actually reporting,0.981,265,0,78,18,169,2676,571,1916,189
,Estimated total,1,270,0,79,19,172,2757,583,1977,197
,"Rate per 100,000 inhabitants",,169,0,49.5,11.9,107.7,1725.9,365,1237.6,123.3
"St. Joseph, MO-KS M.S.A.",,126595, ,,,,, ,,,
,"Includes Doniphan County, KS and Andrew, Buchanan, and DeKalb Counties, MO",,,,,,,,,,
,"City of St. Joseph, MO",76577,428,7,49,104,268,4546,749,3221,576
,Total area actually reporting,1,532,10,60,110,352,5141,920,3580,641
,"Rate per 100,000 inhabitants",,420.2,7.9,47.4,86.9,278.1,4061,726.7,2827.9,506.3
"St. Louis, MO-IL M.S.A.2, 4",,2811156,,,,,,,,,
,"Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, and Warren Counties and St. Louis City, MO",,,,,,,,,,
,"City of St. Louis, MO",314507,6017,188,289,1904,3636,18653,3201,12394,3058
,"City of St. Charles, MO",69364,138,0,22,35,81,1756,155,1472,129
,Total area actually reporting,0.985,,312,1058,3419,,69303,12322,50093,6888
,Estimated total,1,,313,1070,3443,,70004,12438,50642,6924
,"Rate per 100,000 inhabitants",,,11.1,38.1,122.5,,2490.2,442.5,1801.5,246.3
"Stockton-Lodi, CA M.S.A.",,729104, ,,,,, ,,,
,Includes San Joaquin County,,,,,,,,,,
,City of Stockton,308348,4381,49,128,1185,3019,11634,2251,7550,1833
,City of Lodi,65067,351,5,9,84,253,1935,438,1189,308
,Total area actually reporting,1,6005,62,220,1624,4099,22629,4239,14848,3542
,"Rate per 100,000 inhabitants",,823.6,8.5,30.2,222.7,562.2,3103.7,581.4,2036.5,485.8
"Sumter, SC M.S.A.",,107671, ,,,,, ,,,
,Includes Sumter County,,,,,,,,,,
,City of Sumter,40864,282,3,9,50,220,1666,390,1216,60
,Total area actually reporting,1,636,4,31,72,529,3539,1014,2309,216
,"Rate per 100,000 inhabitants",,590.7,3.7,28.8,66.9,491.3,3286.9,941.8,2144.5,200.6
"Syracuse, NY M.S.A.",,655589, ,,,,, ,,,
,"Includes Madison, Onondaga, and Oswego Counties",,,,,,,,,,
,City of Syracuse,143925,1063,30,68,329,636,4651,1021,3290,340
,Total area actually reporting,1,1812,35,336,430,1011,12838,2281,9941,616
,"Rate per 100,000 inhabitants",,276.4,5.3,51.3,65.6,154.2,1958.2,347.9,1516.3,94
"Tallahassee, FL M.S.A.",,380448, ,,,,, ,,,
,"Includes Gadsden, Jefferson, Leon, and Wakulla Counties",,,,,,,,,,
,City of Tallahassee,191564,1686,11,207,405,1063,11073,2120,7854,1099
,Total area actually reporting,0.98,2373,17,282,476,1598,15347,3279,10734,1334
,Estimated total,1,2403,17,284,485,1617,15581,3314,10915,1352
,"Rate per 100,000 inhabitants",,631.6,4.5,74.6,127.5,425,4095.4,871.1,2869,355.4
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",,3020266,,,,,,,,,
,"Includes Hernando, Hillsborough, Pasco, and Pinellas Counties",,,,,,,,,,
,City of Tampa ,375904,1906,29,80,488,1309,7800,1477,5695,628
,City of St. Petersburg,259510,1727,20,122,556,1029,12804,1938,9771,1095
,City of Clearwater,113904,636,5,89,145,397,3755,555,2968,232
,City of Largo,81402,390,3,60,116,211,2989,458,2289,242
,Total area actually reporting,1,10294,118,987,2283,6906,70491,11898,53215,5378
,"Rate per 100,000 inhabitants",,340.8,3.9,32.7,75.6,228.7,2333.9,393.9,1761.9,178.1
"Texarkana, TX-AR M.S.A.",,149537,,,,,,,,,
,"Includes Little River and Miller Counties, AR and Bowie County, TX",, ,,,,,,,,
,"City of Texarkana, TX ",37442,314,4,23,44,243,1875,338,1405,132
,Total area actually reporting,1,669,11,86,87,485,4953,1099,3511,343
,"Rate per 100,000 inhabitants",,447.4,7.4,57.5,58.2,324.3,3312.2,734.9,2347.9,229.4
"The Villages, FL M.S.A.",,124785, ,,,,, ,,,
,Includes Sumter County,,,,,,,,,,
,Total area actually reporting,1,292,1,25,12,254,1093,277,763,53
,"Rate per 100,000 inhabitants",,234,0.8,20,9.6,203.6,875.9,222,611.5,42.5
"Toledo, OH M.S.A.",,604373, ,,,,, ,,,
,"Includes Fulton, Lucas, and Wood Counties",,,,,,,,,,
,City of Toledo,278366,3319,37,316,803,2163,11191,3381,7081,729
,Total area actually reporting,0.928,3662,42,419,880,2321,16577,4268,11358,951
,Estimated total,1,3728,43,433,902,2350,17540,4427,12122,991
,"Rate per 100,000 inhabitants",,616.8,7.1,71.6,149.2,388.8,2902.2,732.5,2005.7,164
"Topeka, KS M.S.A.",,232459, ,,,,, ,,,
,"Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties",,,,,,,,,,
,City of Topeka,127166,711,17,54,248,392,7148,1114,5227,807
,Total area actually reporting,0.977,899,21,74,252,552,8878,1497,6407,974
,Estimated total,1,910,21,76,253,560,8984,1512,6489,983
,"Rate per 100,000 inhabitants",,391.5,9,32.7,108.8,240.9,3864.8,650.4,2791.5,422.9
"Trenton, NJ M.S.A.",,370221,,,,,,,,,
,Includes Mercer County,, ,,,,,,,,
,City of Trenton,83644,1127,21,59,427,620,2186,883,930,373
,Total area actually reporting,1,1490,25,107,587,771,6585,1590,4454,541
,"Rate per 100,000 inhabitants",,402.5,6.8,28.9,158.6,208.3,1778.7,429.5,1203.1,146.1
"Tucson, AZ M.S.A.",,1017936,,,,,,,,,
,Includes Pima County,, ,,,,,,,,
,City of Tucson,533663,4245,30,469,1235,2511,31265,4138,25185,1942
,Total area actually reporting,0.994,5037,49,580,1432,2976,43274,6080,34507,2687
,Estimated total,1,5053,49,582,1435,2987,43432,6105,34629,2698
,"Rate per 100,000 inhabitants",,496.4,4.8,57.2,141,293.4,4266.7,599.7,3401.9,265
"Tulsa, OK M.S.A.",,984554, ,,,,, ,,,
,"Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties",,,,,,,,,,
,City of Tulsa,405748,4444,72,439,1088,2845,23956,5780,14516,3660
,Total area actually reporting,1,5798,91,670,1244,3793,35669,8761,22107,4801
,"Rate per 100,000 inhabitants",,588.9,9.2,68.1,126.4,385.3,3622.9,889.8,2245.4,487.6
"Tuscaloosa, AL M.S.A.",,241294, ,,,,, ,,,
,"Includes Hale, Pickens, and Tuscaloosa Counties",,,,,,,,,,
,City of Tuscaloosa,99925,480,14,54,172,240,3732,794,2708,230
,Total area actually reporting,1,888,18,92,227,551,6726,1560,4746,420
,"Rate per 100,000 inhabitants",,368,7.5,38.1,94.1,228.4,2787.5,646.5,1966.9,174.1
"Tyler, TX M.S.A.2, 3",,224848, ,,,,, ,,,
,Includes Smith County,,,,,,,,,,
,City of Tyler3,105044,429,5,64,106,254,,,,159
,Total area actually reporting,0.991,731,7,83,150,491,,,,429
,Estimated total,1,736,7,84,151,494,,,,432
,"Rate per 100,000 inhabitants",,327.3,3.1,37.4,67.2,219.7,,,,192.1
"Urban Honolulu, HI M.S.A.",,995572, ,,,,, ,,,
,Includes Honolulu County,,,,,,,,,,
,Total area actually reporting,1,3331,16,382,836,2097,30592,3758,22488,4346
,"Rate per 100,000 inhabitants",,334.6,1.6,38.4,84,210.6,3072.8,377.5,2258.8,436.5
"Utica-Rome, NY M.S.A.",,292919,,,,,,,,,
,Includes Herkimer and Oneida Counties,, ,,,,,,,,
,City of Utica,60879,382,3,42,115,222,2265,435,1751,79
,City of Rome,32345,52,0,13,14,25,619,128,463,28
,Total area actually reporting,0.991,774,4,186,151,433,5495,1005,4316,174
,Estimated total,1,779,4,187,152,436,5534,1010,4349,175
,"Rate per 100,000 inhabitants",,265.9,1.4,63.8,51.9,148.8,1889.3,344.8,1484.7,59.7
"Valdosta, GA M.S.A.",,143315,,,,,,,,,
,"Includes Brooks, Echols, Lanier, and Lowndes Counties",, ,,,,,,,,
,City of Valdosta,55880,205,6,17,65,117,3057,581,2333,143
,Total area actually reporting,0.995,456,7,29,95,325,4693,1022,3424,247
,Estimated total,1,459,7,29,96,327,4719,1026,3444,249
,"Rate per 100,000 inhabitants",,320.3,4.9,20.2,67,228.2,3292.7,715.9,2403.1,173.7
"Vallejo-Fairfield, CA M.S.A.",,437638,,,,,,,,,
,Includes Solano County,, ,,,,,,,,
,City of Vallejo ,122293,1053,15,111,353,574,4810,2366,1321,1123
,City of Fairfield ,114521,476,7,56,147,266,2845,420,1888,537
,Total area actually reporting,1,2022,24,204,647,1147,11719,3397,6158,2164
,"Rate per 100,000 inhabitants",,462,5.5,46.6,147.8,262.1,2677.8,776.2,1407.1,494.5
"Vineland-Bridgeton, NJ M.S.A.",,154814, ,,,,, ,,,
,Includes Cumberland County,,,,,,,,,,
,City of Vineland,60823,297,1,15,128,153,2412,559,1779,74
,City of Bridgeton,24982,225,4,13,113,95,952,269,649,34
,Total area actually reporting,1,802,11,64,333,394,5632,1331,4118,183
,"Rate per 100,000 inhabitants",,518,7.1,41.3,215.1,254.5,3637.9,859.7,2660,118.2
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",,1724733,,,,,,,,,
,"Includes Currituck and Gates Counties, NC and Gloucester, Isle of Wight, James City, Mathews, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, VA                       ",,,,,,,,,,
,"City of Virginia Beach, VA",453017,700,21,128,266,285,9858,865,8485,508
,"City of Norfolk, VA",245734,1616,46,131,489,950,9617,1165,7918,534
,"City of Newport News, VA",181676,848,30,71,269,478,5579,902,4097,580
,"City of Hampton, VA",135504,442,24,40,180,198,4650,589,3741,320
,"City of Portsmouth, VA",95813,758,14,61,235,448,5373,1208,3707,458
,Total area actually reporting,0.993,6054,163,642,1802,3447,48315,6411,38853,3051
,Estimated total,1,6072,164,643,1805,3460,48481,6471,38949,3061
,"Rate per 100,000 inhabitants",,352.1,9.5,37.3,104.7,200.6,2810.9,375.2,2258.3,177.5
"Visalia-Porterville, CA M.S.A.",,460141,,,,,,,,,
,Includes Tulare County,, ,,,,,,,,
,City of Visalia ,131186,480,8,68,120,284,4196,998,2561,637
,City of Porterville,56421,215,0,16,52,147,1315,280,771,264
,Total area actually reporting,1,1624,33,135,329,1127,11608,2692,6805,2111
,"Rate per 100,000 inhabitants",,352.9,7.2,29.3,71.5,244.9,2522.7,585,1478.9,458.8
"Waco, TX M.S.A.",,263878, ,,,,, ,,,
,Includes Falls and McLennan Counties,,,,,,,,,,
,City of Waco,133790,695,4,126,156,409,4882,1087,3648,147
,Total area actually reporting,0.979,1104,7,205,185,707,7216,1556,5364,296
,Estimated total,1,1119,7,207,189,716,7351,1578,5467,306
,"Rate per 100,000 inhabitants",,424.1,2.7,78.4,71.6,271.3,2785.8,598,2071.8,116
"Walla Walla, WA M.S.A.",,64789,,,,,,,,,
,Includes Columbia and Walla Walla Counties,,,,,,,,,,
,City of Walla Walla,32326,122,2,23,17,80,1372,233,1041,98
,Total area actually reporting,1,162,2,36,20,104,2050,365,1525,160
,"Rate per 100,000 inhabitants",,250,3.1,55.6,30.9,160.5,3164.1,563.4,2353.8,247
"Warner Robins, GA M.S.A.",,189578,,,,,,,,,
,"Includes Houston, Peach, and Pulaski Counties",,,,,,,,,,
,City of Warner Robins,74419,494,6,31,143,314,4111,768,3125,218
,Total area actually reporting,1,857,9,45,191,612,6711,1315,5030,366
,"Rate per 100,000 inhabitants",,452.1,4.7,23.7,100.8,322.8,3540,693.6,2653.3,193.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",,6152267,,,,,,,,,
,"Includes the Metropolitan Divisions of Silver Spring-Frederick-Rockville, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV",,,,,,,,,,
,"City of Washington, D.C. ",681170,7711,138,527,3149,3897,31661,2360,26402,2899
,"City of Alexandria, VA",155319,286,7,21,134,124,2798,184,2343,271
,"City of Frederick, MD",70316,343,1,23,70,249,1411,141,1222,48
,Total area actually reporting,0.886,16494,257,1701,6074,8462,100386,9239,84211,6936
,Estimated total,1,18535,275,1888,6663,9709,113381,11316,94312,7753
,"Rate per 100,000 inhabitants",,301.3,4.5,30.7,108.3,157.8,1842.9,183.9,1533,126
"Silver Spring-Frederick-Rockville, MD M.D.",,1293480,,,,,,,,,
,Includes Frederick and Montgomery Counties,,,,,,,,,,
,Total area actually reporting,1,2439,17,374,812,1236,18777,2426,15361,990
,"Rate per 100,000 inhabitants",,188.6,1.3,28.9,62.8,95.6,1451.7,187.6,1187.6,76.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.",,4858787,,,,, ,,,,
,"Includes District of Columbia; Calvert, Charles, and Prince George's Counties, MD; Arlington, Clarke, Culpeper, Fairfax, Fauquier, Loudoun, Prince William, Rappahannock, Spotsylvania, Stafford, and Warren Counties and Alexandria, Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV",,,,,,,,,,
,Total area actually reporting,0.856,14055,240,1327,5262,7226,81609,6813,68850,5946
,Estimated total,1,16096,258,1514,5851,8473,94604,8890,78951,6763
,"Rate per 100,000 inhabitants",,331.3,5.3,31.2,120.4,174.4,1947.1,183,1624.9,139.2
"Waterloo-Cedar Falls, IA M.S.A.",,170888,,,,,,,,,
,"Includes Black Hawk, Bremer, and Grundy Counties",, ,,,,,,,,
,City of Waterloo,68470,507,3,56,61,387,2120,614,1368,138
,City of Cedar Falls,41651,66,0,20,9,37,708,118,559,31
,Total area actually reporting,1,756,3,92,72,589,3386,898,2288,200
,"Rate per 100,000 inhabitants",,442.4,1.8,53.8,42.1,344.7,1981.4,525.5,1338.9,117
"Watertown-Fort Drum, NY M.S.A.",,117080,,,,,,,,,
,Includes Jefferson County,, ,,,,,,,,
,City of Watertown,26765,181,1,41,15,124,1171,194,953,24
,Total area actually reporting,1,281,2,92,17,170,2079,349,1681,49
,"Rate per 100,000 inhabitants",,240,1.7,78.6,14.5,145.2,1775.7,298.1,1435.8,41.9
"Wausau, WI M.S.A.2",,136010,,,,,,,,,
,Includes Marathon County,, ,,,,,,,,
,City of Wausau,39091,114,0,29,25,60,959,137,776,46
,Total area actually reporting,1,180,1,39,27,113,1787,296,1430,61
,"Rate per 100,000 inhabitants",,132.3,0.7,28.7,19.9,83.1,1313.9,217.6,1051.4,44.8
"Weirton-Steubenville, WV-OH M.S.A.",,119362, ,,,,, ,,,
,"Includes Jefferson County, OH and Brooke and Hancock Counties, WV",,,,,,,,,,
,"City of Weirton, WV",19067,22,0,4,7,11,209,41,152,16
,"City of Steubenville, OH",18137,60,2,4,22,32,1085,132,945,8
,Total area actually reporting,0.863,153,2,19,35,97,1691,276,1369,46
,Estimated total,1,190,2,25,43,120,2150,351,1730,69
,"Rate per 100,000 inhabitants",,159.2,1.7,20.9,36,100.5,1801.2,294.1,1449.4,57.8
"Wenatchee, WA M.S.A.",,117637, ,,,,, ,,,
,Includes Chelan and Douglas Counties,,,,,,,,,,
,City of Wenatchee,33920,88,0,21,14,53,1128,166,900,62
,Total area actually reporting,1,169,1,31,18,119,2626,502,1957,167
,"Rate per 100,000 inhabitants",,143.7,0.9,26.4,15.3,101.2,2232.3,426.7,1663.6,142
"Wheeling, WV-OH M.S.A.",,142933, ,,,,, ,,,
,"Includes Belmont County, OH and Marshall and Ohio Counties, WV",,,,,,,,,,
,"City of Wheeling, WV",27486,266,1,12,30,223,669,183,453,33
,Total area actually reporting,0.9,475,4,55,36,380,1878,481,1295,102
,Estimated total,1,500,4,60,43,393,2223,538,1568,117
,"Rate per 100,000 inhabitants",,349.8,2.8,42,30.1,275,1555.3,376.4,1097,81.9
"Wichita, KS M.S.A.7",,643764, ,,,,, ,,,
,"Includes Butler, Harvey, Kingman, Sedgwick, and Sumner Counties",,,,,,,,,,
,City of Wichita,391399,4136,31,309,652,3144,21065,3593,15284,2188
,Total area actually reporting,0.992,4553,42,385,683,3443,,,18728,2502
,Estimated total,1,4563,42,387,684,3450,,,18806,2510
,"Rate per 100,000 inhabitants",,708.8,6.5,60.1,106.3,535.9,,,2921.3,389.9
"Wichita Falls, TX M.S.A.",,150165, ,,,,, ,,,
,"Includes Archer, Clay, and Wichita Counties",,,,,,,,,,
,City of Wichita Falls,104685,445,9,124,123,189,3734,825,2646,263
,Total area actually reporting,0.977,535,12,134,127,262,4493,1022,3139,332
,Estimated total,1,544,12,135,129,268,4576,1035,3203,338
,"Rate per 100,000 inhabitants",,362.3,8,89.9,85.9,178.5,3047.3,689.2,2133,225.1
"Williamsport, PA M.S.A.",,115682, ,,,,, ,,,
,Includes Lycoming County,,,,,,,,,,
,City of Williamsport,29163,104,5,8,39,52,792,101,668,23
,Total area actually reporting,1,238,7,32,58,141,1752,248,1452,52
,"Rate per 100,000 inhabitants",,205.7,6.1,27.7,50.1,121.9,1514.5,214.4,1255.2,45
"Wilmington, NC M.S.A.",,282695, ,,,,, ,,,
,Includes New Hanover and Pender Counties,,,,,,,,,,
,City of Wilmington,117852,759,15,44,204,496,4771,1277,3219,275
,Total area actually reporting,0.991,1021,17,81,268,655,8270,2081,5771,418
,Estimated total,1,1028,17,82,270,659,8348,2096,5831,421
,"Rate per 100,000 inhabitants",,363.6,6,29,95.5,233.1,2953,741.4,2062.6,148.9
"Winchester, VA-WV M.S.A.",,134144, ,,,,, ,,,
,"Includes Frederick County and Winchester City, VA and Hampshire County, WV",,,,,,,,,,
,"City of Winchester, VA",27363,61,1,27,16,17,776,122,638,16
,Total area actually reporting,0.997,185,7,67,26,85,1964,341,1535,88
,Estimated total,1,186,7,67,26,86,1977,343,1545,89
,"Rate per 100,000 inhabitants",,138.7,5.2,49.9,19.4,64.1,1473.8,255.7,1151.7,66.3
"Worcester, MA-CT M.S.A.4",,861261, ,,,,, ,,,
,"Includes Windham County, CT and Worcester County, MA",,,,,,,,,,
,"City of Worcester, MA",184595,1642,8,63,394,1177,5358,1366,3473,519
,Total area actually reporting,0.947,,12,282,584,,13153,2815,9422,916
,Estimated total,1,,12,295,606,,13782,2927,9893,962
,"Rate per 100,000 inhabitants",,,1.4,34.3,70.4,,1600.2,339.9,1148.7,111.7
"Yakima, WA M.S.A.",,250717, ,,,,, ,,,
,Includes Yakima County,,,,,,,,,,
,City of Yakima,94111,496,13,47,126,310,4943,1143,3163,637
,Total area actually reporting,1,751,21,82,187,461,9067,2060,5789,1218
,"Rate per 100,000 inhabitants",,299.5,8.4,32.7,74.6,183.9,3616.4,821.6,2309,485.8
"York-Hanover, PA M.S.A.",,443062,,,,,,,,,
,Includes York County,,,,,,,,,,
,City of York,44017,416,8,12,208,188,1408,298,917,193
,City of Hanover,15537,23,0,0,9,14,418,43,371,4
,Total area actually reporting,1,1039,19,107,306,607,7029,948,5674,407
